Id,Event,Abbreviation,Death,Period,Country
1,Invasion of Freetown during Sierra Leone Civil War,Slinvasion,10,"in January, 1999",Sierra Leone
2,Algerian Civil War,Alwar,61,"from December, 1991 to Febuary, 2002",Algeria
3,Rwanda Genocide,Rwgeno,15,"from April to July, 1994",Rwanda
4,Iraq War,Irwar,150,"fromg March, 2003 to December, 2011",Iraq
5,Iraqi Insurgency,Irinsur,13,"from December, 2011 to June, 2014",Iraq
6,Iraqi Civil War,Ircivil,14,"from June, 2014 to present",Iraq
7,Maguindanao Massacre in Philippines,MM,30,"at November 23, 2009",Philippines
8,Syrian Civel War,Sywar,102,"from March, 2011 to present",Syria
